id,nombre,descripcion,categoria,unidad_medida_default,fecha_alta,activo,marca,cantidad_por_unidad,,,,,Precio
120,Pericón,Por definir,Especias y Condimientos,Kg,26/9/2025,t,Por definir,1,,,,,
121,Piloncillo,Por definir,Especias y Condimientos,Kg,27/9/2025,t,Por definir,1,,,,,33
122,Pimienta Negra,Por definir,Especias y Condimientos,Kg,28/9/2025,t,Por definir,1,,,,,200
123,Piña,Por definir,Frutas y Verduras,pieza,29/9/2025,t,Por definir,1,,,,,
124,Pipian,Por definir,Proteínas,Kg,30/9/2025,t,Por definir,1,,,,,
125,Pipián Tostado,Pepita de calabaza tostada y molida en molcajete con sal.,Alimentos Preparados,gr,1/10/2025,t,Por definir,1,,,,,
126,Plátano Horneado,Plátano macho horneado,Alimentos Preparados,gr,2/10/2025,t,Por definir,1,,,,,
127,Plátano Macho,Por definir,Frutas y Verduras,Kg,3/10/2025,t,Por definir,1,,,,,21
128,Plátano Tabasco,Por definir,Frutas y Verduras,kg,4/10/2025,t,Por definir,1,,,,,26
129,Pollo Crudo (pierna y muslo),Por definir,Proteínas,Kg,5/10/2025,t,Por definir,1,,,,,Pierna muslo 91 pechuga 123
130,Pollo DLC,Pierna y muslo de pollo macerado en especias y hervido.,Alimentos Preparados,Kg,6/10/2025,t,David Loro,1,,,,,
131,Porter,Por definir,Cerveza Artesanal,pieza,7/10/2025,t,Por definir,1,,,,,
132,Pulque,Por definir,Pulquería,Lt,8/10/2025,t,Por definir,1,,,,,
133,Queso Añejo,Por definir,Lácteos,Kg,9/10/2025,t,Por definir,1,,,,,125
134,Queso Gouda Connosur,Por definir,Lácteos,Kg,10/10/2025,t,Cono sur,1,,,,,
135,Queso de Hebra,Por definir,Lácteos,Kg,11/10/2025,t,Por definir,1,,,,,125
136,Q. Manchego,Por definir,Lácteos,Kg,12/10/2025,t,Por definir,1,,,,,
137,Queso P/Nachos Biolac,Imitación de queso liquido,Lácteos,Lt,14/10/2025,t,Biolac,1,,,,,36
138,Q. Parmesano,Por definir,Lácteos,Kg,15/10/2025,t,Reggianito St. Clément,1,,,,,
139,Q. Vegano,Por definir,Lácteos,gr,16/10/2025,t,Por definir,1,,,,,
140,Reservado,Vino,Bebidas y Gaseosas,pieza,17/10/2025,t,Por definir,1,,,,,
141,Semilla Cilantro,Por definir,Especias y Condimientos,Kg,19/10/2025,t,Por definir,1,,,,,75
142,Sal,Por definir,Especias y Condimientos,Kg,20/10/2025,t,Por definir,1,,,,,12
143,Salsa inglesa  980ml,Botella 980ml,Suministros,unidad,22/10/2025,t,Crosse & Blackwell,1,,,,,980ml 165
144,Salsa Verde,Salsa de la casa,Alimentos Preparados,Kg,23/10/2025,t,Por definir,1,,,,,
145,Sangría Casera Refresco,Por definir,Bebidas y Gaseosas,piezas,24/10/2025,t,Sangría Casera,1,,,,,
146,Semilla de Cilantro,Por definir,Especias y Condimientos,Kg,25/10/2025,t,Por definir,1,,,,,
147,Servilleta Familiar Café,Unidad de 400pz,Desechables,unidad,26/10/2025,t,Familiar,1,,,,,25
148,Sirena,Por definir,Cerveza Artesanal,pieza,27/10/2025,t,Por definir,1,,,,,
149,Stella Artois,Por definir,Cerveza Comercial,24 Piezas,28/10/2025,t,Por definir,1,,,,,
150,Chile En Polvo Tajin,Por definir,Suministros,gr,30/10/2025,t,Tajin,1,,,,,
151,Tapas Lt Reyma,Por definir,Desechables,bolsa,31/10/2025,t,Reyma,1,,,,,36
152,Tequesquite,Por definir,Especias y Condimientos,Kg,1/11/2025,t,Por definir,1,,,,,
153,Tlalitos,Por definir,Proteínas,Kg,2/11/2025,t,Por definir,1,,,,,140
154,Toalla Interdoblada Institucional,Por definir,Desechables,Pieza,4/11/2025,t,Greymoon,1,,,,,
155,Tocino Ahumado,Por definir,Proteínas,Kg,5/11/2025,t,Por definir,1,,,,,
156,Tomillo,Por definir,Especias y Condimientos,gr,6/11/2025,t,Por definir,1,,,,,
157,Torito de Guanabana,Por definir,Bebidas Artesanales,pieza,7/11/2025,t,Por definir,1,,,,,
158,Torito de Jobo,Por definir,Bebidas Artesanales,pieza,8/11/2025,t,Por definir,1,,,,,
159,Torta de Agua,Base de los molletes,Bases,pieza,9/11/2025,t,Por definir,1,,,,,
160,Tortillas,Por definir,Bases,Kg,10/11/2025,t,Por definir,1,,,,,
161,Tostadas,Por definir,Bases,Pieza,11/11/2025,t,Very,1,,,,,24
162,Totopos,Por definir,Bases,gr,12/11/2025,t,Very,1,,,,,24
163,Trabajo Cocinero,Por definir,Pagos,Mes,13/11/2025,t,Por definir,1,,,,,
